20230405	16:51:05	3c1f4974-c3bb-4511-b655-11cdc3e6d1f3	GET	/cards	http://localhost:3000
20230405	16:51:05	60099a81-d3a7-4210-8b2d-e42942d99300	GET	/users	http://localhost:3000
20230405	16:51:26	760c941c-8241-4a23-b35a-27f856e1fbb7	GET	/auth/refresh	http://localhost:3000
20230405	16:51:26	a502cea2-c560-482c-83d2-df43687874fb	OPTIONS	/users	http://localhost:3000
20230405	16:51:26	cea7d6ad-3a8c-4e31-aad0-e2ebc8f8fdc2	OPTIONS	/cards	http://localhost:3000
20230405	16:51:26	66a72fff-4edf-4a43-b889-1a52bb09cc19	GET	/cards	http://localhost:3000
20230405	16:51:26	c1df524f-22dc-4657-bef0-ae530caae978	GET	/users	http://localhost:3000
20230405	17:02:51	bd60ca21-8a56-4141-90cb-caedfa200d6f	GET	/auth/refresh	http://localhost:3000
20230405	17:02:51	4f6cce9d-e0b0-4ef0-90dd-91350028c431	OPTIONS	/users	http://localhost:3000
20230405	17:02:51	0bd82852-398f-4641-9250-117bbcbefa88	GET	/users	http://localhost:3000
20230405	17:02:51	4faf8fad-8145-484a-8914-174f5cccc3d1	OPTIONS	/cards	http://localhost:3000
20230405	17:02:51	aeefd37b-01ec-4d8e-bff3-ff0ceacc1adc	GET	/cards	http://localhost:3000
20230405	17:08:55	51d887e1-1e64-4984-9762-f54225f7aed9	GET	/auth/refresh	http://localhost:3000
20230405	17:09:03	3141ce37-5a6f-4246-bbe6-47e5b456559e	OPTIONS	/cards	http://localhost:3000
20230405	17:09:03	6e86a0f4-7c43-4af4-8662-20520a04d556	OPTIONS	/users	http://localhost:3000
20230405	17:09:03	2c1e253b-ef3b-423c-b4d0-d97454f85a95	GET	/cards	http://localhost:3000
20230405	17:09:03	abc33f5c-b09f-4d4e-a72c-817f80d48cfb	GET	/users	http://localhost:3000
20230405	17:12:22	6bfdc314-9c2d-4dad-b482-c25caf4291f6	GET	/auth/refresh	http://localhost:3000
20230405	17:12:23	b7d61e32-0623-4f5d-af48-442d886d1401	OPTIONS	/cards	http://localhost:3000
20230405	17:12:23	e7cc8679-d799-4b2b-af4f-a97e392cf439	GET	/users	http://localhost:3000
20230405	17:12:23	daa892bb-9ba0-46c2-9dad-eeba4fec78f2	GET	/cards	http://localhost:3000
20230405	17:12:23	0fbcb650-2026-4e87-bfd5-06d680e05866	OPTIONS	/users	http://localhost:3000
20230405	17:30:03	b30af8cf-511b-44ac-b2c6-e1b5831d228c	GET	/auth/refresh	http://localhost:3000
20230405	17:30:03	98d60000-ec69-4dc9-9363-7f260ddcf5d2	GET	/cards	http://localhost:3000
20230405	17:30:03	68225077-1745-406d-b869-8b181a020781	OPTIONS	/cards	http://localhost:3000
20230405	17:30:03	2a3c0a7f-5fbb-4392-b383-8f64d3f1fc27	OPTIONS	/users	http://localhost:3000
20230405	17:30:03	d74e8f40-768c-42eb-a220-8b56807a18e2	GET	/users	http://localhost:3000
20230405	17:31:11	bed50eb0-a763-4841-9dd9-ededa190be48	GET	/auth/refresh	http://localhost:3000
20230405	17:31:11	1577ef31-7d0e-4d38-8c33-169137c13bb7	OPTIONS	/users	http://localhost:3000
20230405	17:31:11	fed9d18c-6778-4fed-bfe7-9ee447fe0e1f	OPTIONS	/cards	http://localhost:3000
20230405	17:31:11	7a50bab6-44be-4311-a3b5-cae0a472f161	GET	/users	http://localhost:3000
20230405	17:31:11	94a9f576-1aa2-4ed5-a560-3bab304ce2e8	GET	/cards	http://localhost:3000
20230405	19:13:12	a90be86c-1308-48a6-b7f5-597cb4540543	GET	/auth/refresh	http://localhost:3000
20230405	19:13:13	92061807-1b72-4e60-bc2f-f9cf8977fe4d	OPTIONS	/cards	http://localhost:3000
20230405	19:13:13	6813c283-c09e-4143-956a-d2f3b2b06d87	GET	/users	http://localhost:3000
20230405	19:13:12	0759ef69-d83e-444d-9aa7-a61e5890918d	OPTIONS	/users	http://localhost:3000
20230405	19:13:13	40238226-1d27-458d-b727-52f74c1a7f88	GET	/cards	http://localhost:3000
20230405	19:15:40	36823cd4-6269-4807-a2de-0b918de674fe	GET	/auth/refresh	http://localhost:3000
20230405	19:15:40	a8241662-cae0-4731-b840-ba6de8e72fce	OPTIONS	/users	http://localhost:3000
20230405	19:15:40	b6f4a065-5bd8-48f0-a18a-5c838b0c4fab	GET	/cards	http://localhost:3000
20230405	19:15:40	508914c6-ce7c-4a30-aec0-ef298ddf5a2c	OPTIONS	/cards	http://localhost:3000
20230405	19:15:40	c7ebceb7-f334-47c7-a4c3-ccdba65efa82	GET	/users	http://localhost:3000
20230405	19:23:45	1f60060a-fd43-4ba2-a5c7-e3f3436ada01	GET	/auth/refresh	http://localhost:3000
20230405	19:23:45	e96ec50a-f94a-42d8-bee7-0e6874a606cd	OPTIONS	/cards	http://localhost:3000
20230405	19:23:45	74a45de4-77a7-4222-8c3c-d7a929d6c26f	GET	/users	http://localhost:3000
20230405	19:23:45	2e779d8d-0849-4ae8-b2a3-89b78a3af2e7	GET	/cards	http://localhost:3000
20230405	19:23:45	1f8f3a94-5b5e-43af-b750-e9e3a65b7d60	OPTIONS	/users	http://localhost:3000
20230406	09:42:10	cdbc2428-7f51-4d15-bf8f-3961ca4fb8bf	OPTIONS	/auth	http://localhost:3000
20230406	09:42:10	ea4d98e1-5bc8-4063-a688-087b19d6d17a	POST	/auth	http://localhost:3000
20230406	09:42:10	36ceb27d-dd8a-4bca-95e5-2ee67dc12c8c	GET	/users	http://localhost:3000
20230406	09:42:10	011b6ffc-a409-4e5f-adfc-e92b5fc71b2a	OPTIONS	/users	http://localhost:3000
20230406	09:42:11	6e95351b-6a0b-4388-8903-ead961f0ec79	GET	/cards	http://localhost:3000
20230406	09:42:10	9978f1e0-1a23-4bc1-8f32-97df59505cf0	OPTIONS	/cards	http://localhost:3000
20230406	10:18:12	d3173dea-47a5-4b52-a6c0-743d56fa7c34	GET	/auth/refresh	http://localhost:3000
20230406	10:18:12	326e2bfd-0008-457a-b489-53d2447cc846	OPTIONS	/users	http://localhost:3000
20230406	10:18:12	2d7917ad-62b1-4fa5-8e31-3ed3a053283c	GET	/users	http://localhost:3000
20230406	10:18:12	af39f9d8-aee3-431e-ae97-0922921f580d	OPTIONS	/cards	http://localhost:3000
20230406	10:18:12	4637fc25-a296-4ea8-bbbe-0eeec7d2c1ea	GET	/cards	http://localhost:3000
20230406	13:26:57	b950f2ed-6245-4a9c-9da4-a22e7338e0cc	GET	/auth/refresh	http://localhost:3000
20230406	13:26:57	be07e4fb-a132-4757-ab7a-306b4f44aedd	OPTIONS	/users	http://localhost:3000
20230406	13:26:57	3a5e92ce-1289-4f76-b866-173d02212231	OPTIONS	/cards	http://localhost:3000
20230406	13:26:57	7c3ec3cc-ecb5-4737-b9cd-724e45aa5bdf	GET	/users	http://localhost:3000
20230406	13:26:57	cad21158-c1cb-48e4-8803-29716a438ec1	GET	/cards	http://localhost:3000
20230406	13:40:23	0cf1bca8-6d6a-44d4-a2a5-aba4b00d47eb	GET	/auth/refresh	http://localhost:3000
